,Stain,Noise,Temperature,Size,,불량접수,Stain,Noise,Temperature,Size
14,99,0,12,93,,불량#1,99,0,19,95
18,98,0,21,93,,불량#2,86,1,28,93
30,97,0,15,94,,불량#3,90,1,11,93
40,97,1,20,93,,,,,,
16,94,1,10,98,,,,,,
32,94,0,30,96,,,,,,
69,92,1,11,100,,,,,,
59,91,0,15,95,,,,,,
43,90,0,10,96,,,,,,
91,89,0,20,99,,,,,,
61,89,0,26,97,,,,,,
78,88,0,22,97,,,,,,
26,88,1,20,95,,,,,,
55,87,0,10,95,,,,,,
83,87,1,14,94,,,,,,
98,86,0,18,98,,,,,,
97,85,1,13,96,,,,,,
35,85,0,15,95,,,,,,
62,84,1,21,96,,,,,,
76,83,1,13,99,,,,,,
57,83,1,22,98,,,,,,
17,83,1,17,97,,,,,,
63,81,1,30,98,,,,,,
45,80,0,18,94,,,,,,
36,78,0,16,100,,,,,,
11,78,0,27,98,,,,,,
25,78,1,28,97,,,,,,
66,77,0,30,95,,,,,,
20,77,1,13,94,,,,,,
92,76,1,18,97,,,,,,
4,76,1,18,95,,,,,,
87,73,0,27,98,,,,,,
31,73,0,11,97,,,,,,
70,71,1,28,96,,,,,,
41,67,1,14,93,,,,,,
68,66,0,27,94,,,,,,
96,65,0,25,95,,,,,,
75,64,1,30,97,,,,,,
34,63,1,14,95,,,,,,
54,62,1,18,99,,,,,,
6,60,1,23,95,,,,,,
53,58,0,25,95,,,,,,
71,55,0,27,98,,,,,,
84,55,0,13,95,,,,,,
99,55,0,22,94,,,,,,
51,54,0,16,94,,,,,,
94,53,0,11,99,,,,,,
93,51,0,14,97,,,,,,
13,49,1,20,94,,,,,,
42,48,0,17,99,,,,,,
7,47,0,16,97,,,,,,
74,47,0,22,94,,,,,,
33,44,0,30,98,,,,,,
50,43,0,10,98,,,,,,
49,43,0,30,96,,,,,,
22,43,1,25,96,,,,,,
47,41,1,29,99,,,,,,
72,41,0,23,94,,,,,,
52,40,0,15,98,,,,,,
29,39,1,26,96,,,,,,
27,39,1,21,95,,,,,,
73,37,0,26,99,,,,,,
85,35,0,26,95,,,,,,
5,35,1,24,95,,,,,,
37,34,0,10,98,,,,,,
65,34,1,16,98,,,,,,
56,34,0,27,93,,,,,,
23,33,1,30,100,,,,,,
90,33,1,12,99,,,,,,
1,33,0,28,94,,,,,,
3,30,0,12,97,,,,,,
15,29,1,18,100,,,,,,
19,27,1,24,100,,,,,,
24,27,1,17,99,,,,,,
88,27,0,22,94,,,,,,
2,24,1,14,97,,,,,,
79,24,1,13,97,,,,,,
46,24,0,17,94,,,,,,
28,22,0,15,99,,,,,,
48,21,1,27,94,,,,,,
67,20,1,28,97,,,,,,
60,18,1,14,96,,,,,,
21,17,1,22,96,,,,,,
82,17,0,17,94,,,,,,
10,16,1,11,97,,,,,,
81,15,1,24,96,,,,,,
77,15,0,29,94,,,,,,
80,13,1,27,96,,,,,,
64,9,1,22,96,,,,,,
100,8,0,12,99,,,,,,
39,8,1,14,96,,,,,,
86,7,0,30,99,,,,,,
58,7,1,12,98,,,,,,
9,7,1,15,96,,,,,,
44,6,0,26,95,,,,,,
89,6,0,17,95,,,,,,
95,3,1,25,98,,,,,,
38,3,0,28,97,,,,,,
12,2,1,28,99,,,,,,
8,2,0,20,97,,,,,,
